iter	Passed	Remaining
0	0	80
1	0	73
2	1	79
3	3	126
4	3	122
5	4	115
6	4	113
7	5	107
8	5	101
9	6	100
10	6	98
11	7	94
12	7	92
13	7	89
14	8	87
15	8	86
16	9	84
17	9	84
18	10	83
19	10	82
20	11	81
21	11	80
22	12	78
23	12	78
24	13	77
25	13	74
26	13	73
27	14	73
28	14	71
29	15	71
30	15	70
31	15	69
32	16	68
33	16	67
34	16	66
35	17	65
36	17	64
37	18	63
38	18	63
39	18	62
40	19	61
41	19	60
42	19	59
43	20	59
44	20	58
45	21	57
46	21	57
47	22	57
48	22	56
49	23	56
50	23	55
51	24	55
52	24	54
53	24	54
54	25	53
55	25	53
56	26	53
57	26	52
58	27	51
59	27	51
60	27	50
61	28	49
62	28	49
63	28	48
64	29	48
65	29	47
66	30	48
67	31	47
68	31	47
69	31	46
70	32	45
71	32	45
72	33	44
73	33	44
74	33	43
75	34	43
76	34	42
77	34	42
78	35	41
79	35	41
80	36	40
81	36	40
82	37	39
83	37	39
84	37	38
85	38	38
86	38	37
87	39	37
88	39	36
89	40	36
90	40	35
91	40	35
92	41	35
93	41	34
94	42	34
95	42	33
96	43	33
97	43	33
98	44	32
99	44	32
100	45	31
101	45	31
102	45	30
103	46	30
104	46	29
105	47	29
106	47	28
107	48	28
108	48	28
109	48	27
110	49	27
111	49	26
112	50	26
113	50	25
114	50	25
115	51	24
116	51	24
117	52	23
118	52	23
119	52	22
120	53	22
121	53	22
122	54	21
123	54	21
124	55	20
125	55	20
126	55	19
127	56	19
128	56	18
129	57	18
130	57	18
131	58	17
132	58	17
133	59	16
134	59	16
135	60	15
136	60	15
137	61	15
138	61	14
139	62	14
140	63	13
141	63	13
142	63	12
143	64	12
144	64	12
145	65	11
146	65	11
147	65	10
148	66	10
149	66	9
150	67	9
151	67	8
152	67	8
153	68	7
154	68	7
155	69	7
156	69	6
157	69	6
158	70	5
159	70	5
160	71	4
161	71	4
162	72	3
163	72	3
164	73	3
165	73	2
166	73	2
167	74	1
168	74	1
169	75	0
170	75	0
171	76	0
